,c2_XM,c2_YM
9_0_16,73500.327777444,5134.250979421
0_28_82,3258.500907176,4640.16757342
8_18_64,64901.351827725,5811.781589071999
1_40_45,13786.893610551,1982.408175435
9_89_42,72166.185090263,5953.275727663001
1_94_27,10543.465137925,2861.811605213
2_47_21,18851.966362793,1286.3101846010002
1_86_50,12694.051183572,1663.002226004
4_42_14,33738.092299869,4540.32551475
3_25_9,29474.635251216,3333.400946737
7_19_81,53802.252360958,2452.575228067
5_33_37,40515.34133859,4557.608867391
4_48_53,32946.848124106,1525.73577861
3_46_41,27669.296554824,5442.187440824
7_12_65,54507.557317169005,3779.931355519
9_2_51,72070.348628318,5336.896747936
7_50_48,56725.541101028,1656.576163486
8_94_11,66403.86497253401,4704.492440917
5_51_45,42138.384414613,2361.011345736
2_18_78,19169.546197924,4200.388756265
9_36_14,69782.187203025,6060.224148729
4_91_2,31316.340756769,3027.122018452
5_41_57,39621.157149621,5373.360464183
2_55_8,21293.134547009,1922.15397133
9_40_87,70906.092948671,1325.221940323
0_61_94,3759.350523735,2529.768970994
2_55_80,17058.373091098998,1778.634885084
1_2_78,14693.03603825,2972.6546309620003
2_18_9,20575.408316555,4216.694873003
6_2_75,48301.854772247,2458.243903339
6_79_17,46488.914547098,3867.895230673
1_37_48,8639.907710467,5161.575982894
0_92_42,5989.874428215,1239.801663391
2_17_78,21274.738801505,2212.432443393
6_21_73,51544.111762537,5791.502019504001
2_37_38,17740.86246693,5429.427769933
9_83_2,70490.928207718,5855.439180418
3_27_51,25753.14857013,4128.795056825999
0_50_55,3952.986721974,5954.223470831
3_36_51,24441.524546763,3721.000808106
3_9_22,27167.353352479,1309.694566908
3_23_12,26533.956529347,5332.076284456
6_24_62,51643.082535671,2779.773468635
8_27_31,64390.07662789401,6047.8751225430005
6_51_18,49121.153356660994,4583.557610829001
1_14_58,12172.934918083998,1555.17982076
7_18_17,58223.740645606,5084.596830442
8_1_12,60374.069788596,1855.937556356
0_66_90,5975.064766583,5476.895121294
8_9_19,62400.156819807,2575.028378091
3_71_68,28650.325741012,2641.729940059
3_45_67,24453.261919026,2315.477465732
0_7_49,6383.73600024,5552.930316508001
9_75_24,71267.772475345,4557.496434641
4_1_65,30814.643750508,4965.317636218
7_33_24,53586.664772141,2668.45040013
6_94_79,49017.792813108,3979.26323557
3_37_90,26169.022510949,2121.40078189
6_55_3,47198.148976116,1939.17819534
1_13_2,9756.788114819,4465.143030438
0_29_59,4034.898702469001,4431.721164582
8_54_78,66022.303715656,4814.257982655
1_37_11,12659.870502475,2473.552521444
5_26_17,44137.169002399,3871.605718121
1_2_14,11251.868880982,2957.006659283
3_61_89,26343.081649705,2103.022665883
0_0_79,6092.665482537,3546.683543487
2_63_36,19769.18612857,1780.945044018
4_73_2,33138.327473145,5957.3137399140005
1_5_3,10352.456504192,4963.2773329520005
9_17_28,71472.919726033,4245.583489160999
5_54_50,44054.345177402,1955.820894595
6_80_84,50529.86659377901,4479.401381837
1_62_70,14083.535284315,1969.898106865
4_50_17,34153.835060686004,2238.685911804
2_74_83,21282.524855411,2999.226159313
5_82_19,39729.590127893,2245.057350521
2_12_9,21369.934916191,2299.054895863
0_49_50,3653.18049815,4637.805184292
1_44_12,13462.868943746002,5776.629386371
1_15_6,13181.114106243998,2878.739766033
3_11_6,27968.670949893,3931.583487458
1_61_70,8843.886476943,5068.72929682
0_35_75,5961.551666,4462.621496043
0_48_53,6368.119205202,3973.181797644
4_90_83,36439.131670808,4049.000766417
8_65_11,63491.333637416,5100.390047097
5_11_72,43431.977969203,4773.791045402
7_57_24,57226.285429893,1557.839462798
5_48_42,39904.578369003,2048.951757021
0_32_87,3558.080034519,2507.08944079
1_41_86,10770.733293448,1546.12078344
7_78_18,53181.568851889,5986.247300879
3_14_78,28260.985001106,2637.311291279
7_25_84,53695.085396913,5584.283096193
3_30_49,24760.59176296,1605.755571582
3_28_78,27967.16230981,5427.6295496170005
2_42_81,16146.40304644,5407.692669143
2_80_25,17435.90501659,3703.745259102
7_68_24,58237.319486741,2463.345140588
5_69_67,39318.818960474,5365.563022756
8_48_50,64487.725194283,5628.000584207
4_79_45,35019.734195421,5681.326534438001
7_66_35,58137.388197783,3673.923544021
6_94_19,48722.68889095701,3365.304267716
1_61_52,9435.406405664,2950.576715142
3_73_64,25660.879064073,4032.231956829
4_5_57,36358.579674282,1746.349058041
6_30_9,49606.929745823,6090.453384228001
7_18_2,56200.725656888,3263.511376557
1_65_28,9354.538426211,5671.175864522
9_5_24,70189.515541608,1399.505236054
7_14_14,58508.162486947,1670.612751384
2_6_61,17251.93768308,2986.74399627
5_46_29,44239.431892752,5461.622260713
5_69_3,40024.975555829,2644.425100407
6_87_69,47017.451522395,3163.0986299590004
0_84_46,4069.565616246,3135.97927181
3_31_90,28662.894102156,3442.871375622
1_91_58,11146.804587935,3654.881543804
6_65_79,51012.987011574005,4377.44374831
1_16_68,10252.232990585,3551.7587528
6_16_24,49632.634814047,5299.649886807
0_92_86,7001.914218137,1131.49317815
1_75_43,14474.314760311,5199.104428618
6_5_55,45987.511718017005,3359.508039722
2_50_78,17728.075894682,5611.912202211
1_28_3,13685.974997871,1753.7733823479998
6_18_1,51338.988223137,3782.805340976
0_89_82,1535.194113093,4231.634770579
3_65_26,29272.317379246,2631.463644575
4_7_90,36045.382928324,6197.606947093001
8_11_84,63371.722758532,6120.394821659001
1_58_59,13296.254317778,1569.9105212529998
1_8_46,10331.64684383,2569.158937321
6_30_76,45976.413223651,2649.173406888
0_81_87,3883.903274251,1523.26340507
2_69_51,19444.662910548,4003.883989888
4_55_93,33741.787685825,3351.79911793
7_32_83,54811.720129086,1556.751041769
2_18_12,20168.461226976,1379.785207231
2_0_58,16222.18188165,3482.087698527
6_82_62,46713.04806085,1741.7729008610002
3_32_89,27951.751254012,4540.472434052
2_76_58,21383.444446073,3913.302397184
6_63_79,46299.73485265901,3057.257224676
3_19_55,25248.747646401,2816.0566918120003
0_87_93,3757.552892547,5368.063651812
8_16_71,62100.145492258,3986.477747835
1_10_8,9642.356891444,1741.105767153
1_37_84,10362.73339161,4872.098441343
9_74_28,72678.379732807,4262.009593226
6_68_90,48705.907370466,5406.377918431
1_11_12,9759.05126227,4366.892004595999
4_43_20,31815.310594817,2036.823226579
7_29_60,55212.13158519901,1553.268669015
0_63_55,2753.079491175,2308.126038956
0_87_61,5901.32719267,1824.573544762
7_63_28,52973.314829558,2656.003150471
9_60_59,71163.767167514,5444.653091622999
0_27_52,2527.573436486,2925.700221462
7_11_45,54971.29857401,6182.149723968
9_88_42,69385.751317473,4625.715322991
0_48_84,1328.435236067,6049.333346695
0_87_4,4480.336731480999,2010.535296321
3_52_17,27242.52773863,4134.382913892
4_72_25,35147.33201059,1414.726082035
2_77_62,19139.51763019,4504.237319313
5_24_22,40722.583245124,4288.10264843
3_16_63,29475.643305961003,5663.574990395
9_60_73,73400.546122464,4034.22818742
5_15_67,43649.805130645,2251.801003818
5_34_83,38197.354942397,4054.125262694
8_66_81,60876.94436167,3079.683579862
2_90_57,17863.860118776,5421.300523963
3_19_88,24036.775884351,3229.703835861
2_73_43,16943.133518519,4098.653196571
3_32_2,28668.600235081,3734.607857825
6_10_3,48396.249573468,2875.292173532
6_38_71,46589.70216666701,5054.398390204
4_60_92,32938.063988407004,3546.448509611
8_6_91,60577.193786915,6208.306169758001
8_52_88,66231.054262517,4134.944100406
9_90_19,69096.171997817,1400.724160274
4_37_64,36451.645387933,6148.803604058001
4_18_61,34234.940309971,4853.3887415320005
3_66_46,27737.254530009,5660.500565579
1_90_69,10625.739816561,5494.5402693020005
1_82_51,11663.764083118,5277.06597477
3_74_41,24236.257768732,5033.015589052
2_30_62,19568.384425538,5822.637353098001
7_61_79,54904.671270979,6093.778329351
5_70_18,43635.702572001,6175.057779411
1_87_70,10565.405668313,5882.39512374
6_78_35,47017.400478069,4765.394223358
2_46_54,16426.623556753002,5403.827057398
2_68_62,20689.888251957,2088.907631383
5_79_83,43049.27880738,3880.525607111
7_34_0,55781.074426056,4382.650590863
4_37_5,33541.968945192995,4045.757013428
0_39_44,7279.588730004,3238.269902873
0_91_94,4976.294775649,5344.291778713
8_57_94,63380.93709656,3887.774884197
1_2_59,12897.728155466,3382.115589943
3_11_82,29469.636064514,5765.297233066
4_7_74,32736.36437614,4342.182813851
1_36_7,10762.727356591,3454.1268417590004
7_35_34,53065.72968023701,5591.818153222
6_22_57,45575.942182842,5887.72158872
9_23_25,70309.457502212,1429.23803582
2_6_20,17445.184720861,1288.711370914
1_30_68,14291.05336374,2059.568506518
6_38_64,48218.372078281,4364.121000882
7_66_45,56320.409319924,3172.847431344
1_11_20,8715.129118735,2876.5972290940003
7_60_93,59014.295871326,4979.056266577
0_39_50,7000.207097681,2043.573986587
0_18_67,2946.978503216,4331.506119823
1_45_38,14314.772294342,1569.19836967
4_75_29,32334.438554177003,3554.540971275
2_6_0,21049.940345495,3818.287539615
5_70_58,41837.430695179,5878.506234088
1_81_4,8633.032450405,2074.349873084
3_46_69,24645.016063324,3122.96252848
7_35_46,54100.480663572,4483.021288966
6_51_53,49325.932038823,2966.842087943
6_28_75,51334.36274541901,3167.3103942
6_28_37,49705.652183698,1845.585692714
5_45_79,42135.873494885,4971.335262046
0_27_46,4471.198306973,1807.925751551
0_54_20,3977.999029663,2933.103701535
4_21_73,33652.435734077,1629.730302951
7_32_72,57637.062340954006,2869.524560714
5_23_72,38520.074481154,3572.004844849
5_71_66,41937.87371377,2341.0856272260003
9_90_88,73702.832245025,2034.638499741
1_94_67,10657.359159598,1951.470043303
0_12_73,6495.686705822,2848.583040961
9_50_59,68065.42487850599,3409.150432085
1_74_57,12790.983100337,3285.205181312
8_86_21,64826.250628108,2691.568189313
6_94_56,49121.229912332,5881.3139732
9_84_7,67753.592695923,5500.314114690999
2_32_95,18851.259167444,3717.527709418
2_94_9,21969.418881577,4520.570562592
9_63_36,73285.863679054,5452.002138555999
6_84_46,46099.481862464,6074.419697568001
8_87_5,61095.316502007,1959.989967981
7_80_61,53803.302421899,1465.78298891
7_47_6,53989.255432383,1871.060343166
1_32_58,11963.517857724,5789.835472578001
9_23_72,69263.753795418,3817.038935514
8_42_29,65202.138143345,4296.497955295
7_87_57,58333.037912546,2770.446143385
0_70_60,7186.192368386,1723.528346126
8_69_24,65884.499166152,6033.186173045
7_6_37,56304.721411367005,4287.938171635
8_85_38,65112.061349521,1685.590756184
9_71_76,73628.816568278,4260.142888855999
1_0_7,11946.030368364,5396.692924578
3_77_70,23726.83522919,1814.088606793
3_36_43,24857.413714916,2228.967199256
1_72_67,13272.622055916,1851.800251317
0_80_85,1427.35736345,3812.104203819
0_58_6,1535.750977903,5144.298160164
1_44_90,9539.266239721,4871.451339028
9_72_6,73688.591311278,3657.400181361
8_29_78,60376.816186005,5116.298750388
7_82_65,56502.028260525,5489.89261762
3_12_82,27343.489531134,3139.26213425
8_3_18,60365.53700217,2875.664129117
5_75_28,38692.111707229,5151.207340463
4_66_66,35563.954835579,5572.127107593001
1_39_27,9440.225709208,1556.115290943
7_42_40,54402.932219795,5290.163475711
3_45_57,28768.848161448,1616.215061631
5_22_29,44138.686114995,5772.106423345
8_16_51,64290.788959143,4382.850290393
8_4_57,62181.904530816,4996.323607591
3_51_66,29454.595975447,4338.993148732
6_62_57,50436.786321652005,4778.270421899
9_77_27,70374.00407592401,4933.916106912
8_36_2,64303.68831095,2806.65991832
0_86_57,4153.247799141,5947.809181246999
3_35_94,27474.077026797,2519.136241254
9_81_54,73113.144577713,3642.230277988
6_32_7,50518.448067264006,4971.42296979
6_61_83,50122.951056171,3060.37056885
0_19_73,2653.365894077,1230.5899214160002
4_58_25,36335.343394632,5781.71905343
3_16_49,25655.533921235,6151.375065004
5_60_16,39718.830815309,5467.300721043
1_0_88,8621.845691262,1960.365029315
8_55_55,65484.55930286401,6142.056644018
5_23_20,41340.728274787005,2757.794631511
9_87_5,70489.43972329599,3834.005107076
3_71_78,23925.023163894,2014.097129177
8_4_4,65826.925822843,3297.046578691
3_15_30,25851.636189344,2313.708364494
8_35_38,61790.452855105,3376.69173545
7_28_33,58200.461943631,3778.287566994
3_53_58,28366.793845332,3849.856220141
6_46_67,46382.545326124,3355.545306886
8_37_56,61374.740911035,1655.8248695829998
8_4_58,65821.675203787,4835.433812651
4_80_88,33325.090378307,1532.244836627
5_31_17,40727.197188227,4568.493476068
8_76_19,63784.901905273,2584.901636978
2_14_10,22095.124318725,1391.855302807
4_63_52,30822.776128081,3326.411407683
0_5_91,6787.87531993,2557.406123034
4_21_61,30790.877762997003,4153.442248563
9_91_30,69587.866404095,2915.5084644020003
6_40_58,45580.331101598,3972.579622327
0_38_60,4577.415670709001,4940.916156204
7_4_18,54288.164930589,1357.012984282
0_86_11,6094.97419491,4751.000106761
3_23_91,24430.37356458,1796.4656716779998
4_37_16,34644.291503252,1419.492334839
6_3_61,46483.305334962,2542.038934812
3_82_6,29358.067395174,5269.923622099001
2_10_51,20585.304518653,3413.453890347
0_6_24,5372.836746713,3333.1434673790004
9_72_38,73725.000433714,2838.3970172940003
3_27_66,23635.543676237,1200.713596495
5_79_0,40533.02628001,5578.337960388
3_35_42,27844.501247189,6150.809347441999
5_7_7,40733.57148217,4873.5321593
9_68_15,69074.331600099,4939.497182487
9_39_94,67864.205326877,2795.679294616
2_21_94,21578.141151408,5235.461230537
0_88_4,6762.63979551,6060.645781279
1_79_84,9854.832307398,4564.519979476
7_37_53,54199.92467862,3177.951825261
9_5_63,68852.151830966,5220.987697224
2_44_54,17439.434581555,2580.986071375
0_35_44,6284.135082004001,5764.281186608
4_49_86,33032.420015625,3440.134607217
5_86_54,39616.714971906,5670.0399593
3_30_31,26465.591823917,3630.528076596
9_36_28,72078.777604593,5239.655285349
5_72_52,42354.999239441,5070.473089769001
5_9_3,41024.782321487,3646.114413806
3_5_37,23922.414355981,5821.911881386
0_47_78,6269.703653984,3360.321272341
8_52_45,61487.13606972901,5716.324574269001
9_52_3,71063.22213906,5329.060341888
1_19_63,14689.473658777,2290.866408081
7_82_12,55892.335910826,3262.6072322890004
1_29_46,11235.758520526,4569.261100842999
6_25_73,49636.136974264,3561.852667738
2_43_68,20152.294039335,3019.0218022890003
5_9_63,43532.412906772,4057.869939904
5_64_46,44141.457852184,2958.898180763
9_46_30,68482.572236543,4034.63731609
1_29_72,13795.944641872,3069.61656959
9_1_41,68360.72249973401,5003.928330912
2_34_14,17538.607574458,5708.452238292
7_23_25,53900.071694754006,4979.128289887
9_47_19,70265.362680347,4625.300742137
6_37_89,46178.944723746,4468.77093588
3_24_67,23600.044069876,6045.480983351
9_28_90,72866.545449022,6057.777388319
2_3_31,17721.646639827,5943.63527584
4_29_67,35536.79421073,5757.075359079
3_54_50,28165.674572936,3735.981351382
7_21_57,53503.745661628,1557.3770864839998
1_21_14,12659.396246742,5192.648596933
9_92_90,67973.995991088,3501.765147934
4_21_12,31936.577169291,6061.278628731
6_56_18,49321.50113192,1350.586624753
5_31_7,42129.938300978,5587.907097036999
1_52_67,11871.181567975,3875.540007654
1_24_82,11950.827191556002,5682.739622278001
5_88_73,40225.389158921,4055.649765604
3_10_3,24136.700221116,5114.373228552
0_43_94,5962.902252678001,5944.454142771
5_88_58,38198.680387701,2358.631795105
4_3_62,31814.042254909,1344.48326585
3_32_64,26233.398155961,5950.418600745999
5_4_38,40332.062769294,4059.3054897
2_51_19,20981.647643902,3919.263352328
0_33_72,3567.750781473,1900.415315621
0_24_26,2325.4144391,2617.144821412
1_87_57,12278.343934866,1565.834192996
8_50_45,64614.882628845,4803.359144485
1_80_57,14384.215181229,3793.353677628
3_49_51,25345.637860942003,5832.678172314
1_8_56,8635.115248409,3171.495826615
2_23_73,20692.335956889,1795.6329641829998
2_69_60,21061.896401784,3531.971620152
2_29_88,17335.180605643,6102.513607305
1_10_42,8638.932974688001,3962.09174211
5_65_57,39811.12757696,2372.326795634
5_79_34,39407.569612242005,6062.166168412
3_46_29,23521.149325147,1814.474354291
9_81_74,69677.515033809,5633.854351235
0_37_7,3464.239320896,5843.394276754
7_1_91,56103.841422293,5884.603175141
7_55_72,54406.903828234,3473.217266057
3_75_25,23608.786019225,3632.201556566
0_30_58,2034.013967475,2517.661865212
7_1_59,55999.31562157,6082.330338291999
1_73_54,13363.819600299,5484.795343712
3_4_70,25625.544199312,2204.070645086
7_19_90,59027.936596373,3153.759920076
9_41_26,72694.064778598,3430.598360489
4_0_73,32430.165501828,1824.033384608
8_35_36,61791.913231128,1270.72091465
2_66_57,16030.930602263,1383.271305487
3_35_25,28868.295256661,4123.893460143
5_68_41,41236.268799102,1441.505842589
2_19_49,18752.588883957,6014.79630154
2_47_40,16437.518480972,1273.93108858
1_7_30,8911.3099687,5889.264955606999
2_9_93,21593.597053551,5028.85481569
1_47_76,10566.424679776,1963.339898177
3_12_14,25134.746335991,4119.102230824
5_89_43,38414.078608957,1344.9609984039998
0_27_70,4447.787429784,5047.154675336
2_61_87,18337.046874785,2400.509527902
5_69_89,41536.096241282,3153.74734219
